WorkerID,Client_handled_id,Percentage_Of_Load
0,4,11.905%
2,6,35.088%
4,10,34.483%
9,2,44.286%
0,1,14.474%
5,4,61.224%
4,5,43.103%
8,5,69.767%
9,5,42.857%
0,2,46.053%
4,9,33.708%
0,2,27.907%
1,1,84.774%
6,3,84.490%
3,3,84.861%
7,6,84.585%
1,6,2.672%
2,1,76.512%
6,9,10.727%
5,9,69.063%
3,6,23.810%
8,8,61.538%
1,1,20.588%
7,10,28.412%
9,4,58.791%
7,3,1.362%
9,5,1.344%
3,5,10.818%
7,2,5.155%
4,2,53.924%
3,6,2.025%
7,10,1.256%
8,9,14.925%
1,3,16.867%
0,9,49.650%
1,8,4.709%
8,6,19.076%
3,7,20.717%
2,8,42.998%
6,1,39.504%
1,4,5.882%
5,1,39.474%
5,10,0.928%
2,2,9.381%
2,3,0.873%
9,2,35.467%
5,5,8.418%
2,6,3.667%
4,1,34.488%
2,2,1.792%
7,2,35.122%
7,8,0.801%
7,8,0.794%
1,2,15.906%
7,2,0.786%
0,9,32.188%
9,2,9.516%
0,7,0.924%
9,5,0.769%
2,5,9.384%
5,9,11.988%
7,6,7.278%
1,8,8.739%
2,8,1.439%
8,10,29.149%
3,5,28.929%
3,8,0.690%
8,3,0.690%
3,7,1.087%
8,4,0.678%
6,1,28.167%
3,4,1.074%
2,5,7.020%
6,3,1.189%
3,2,1.319%
8,4,9.124%
8,7,0.842%
4,7,25.783%
4,1,0.597%
2,5,10.551%
9,4,24.334%
0,6,24.450%
3,9,12.201%
5,8,23.154%
7,1,22.652%
1,8,22.598%
1,3,0.538%
1,8,3.310%
7,1,12.197%
5,9,12.863%
6,4,26.603%
8,8,24.887%
2,7,25.260%
3,3,23.842%
0,6,25.087%
9,8,25.087%
4,6,26.620%
1,4,7.053%
7,8,2.339%
5,8,0.415%
1,2,1.995%
5,4,1.912%
6,5,4.538%
7,7,1.990%
8,1,4.455%
4,7,4.441%
0,5,7.617%
1,4,2.610%
5,8,0.594%
6,2,0.594%
8,7,2.261%
6,7,1.302%
0,7,6.685%
4,5,7.650%
2,6,16.063%
9,6,17.237%
3,7,16.063%
8,1,0.820%
6,5,0.820%
4,3,1.263%
6,7,0.796%
3,3,0.331%
8,5,0.331%
2,10,0.397%
6,10,0.528%
8,1,0.326%
2,1,0.520%
2,3,0.323%
7,5,13.604%
8,8,0.515%
8,4,0.319%
1,2,13.278%
3,7,3.807%
1,4,0.316%
5,5,13.101%
2,2,1.951%
5,2,1.245%
1,1,3.643%
0,1,13.988%
9,9,13.642%
4,6,14.123%
6,2,13.876%
7,4,12.745%
8,9,13.178%
3,8,12.866%
9,3,2.186%
4,10,1.584%
6,1,1.848%
2,2,13.493%
5,4,12.926%
7,10,0.917%
3,6,0.431%
1,3,11.481%
6,9,0.268%
3,1,0.267%
6,2,0.267%
1,3,0.320%
7,4,1.584%
5,2,2.669%
5,10,0.261%
6,7,2.588%
3,10,3.588%
1,1,3.586%
9,6,5.120%
1,10,0.255%
9,6,0.306%
0,6,10.418%
6,10,2.994%
5,6,4.950%
1,9,3.918%
8,9,9.985%
2,4,10.155%
4,8,10.501%
5,5,2.882%
2,9,0.336%
8,4,1.533%
7,7,9.753%
7,3,1.452%
3,2,9.583%
3,8,0.322%
9,4,9.664%
3,5,0.229%
0,3,9.389%
0,2,0.227%
6,2,9.345%
7,10,4.470%
1,10,9.143%
4,3,9.015%
5,4,8.972%
2,2,8.972%
8,5,8.972%
5,7,0.217%
2,6,0.217%
5,10,0.216%
4,10,1.295%
2,1,2.123%
9,6,8.617%
3,3,8.570%
0,6,8.513%
6,7,8.468%
9,1,1.651%
7,5,8.466%
7,1,0.285%
2,1,4.070%
9,2,1.702%
1,4,8.468%
7,5,0.324%
9,7,1.239%
8,6,8.224%
9,9,0.199%
9,9,0.198%
5,5,8.178%
4,9,8.162%
5,1,0.395%
5,5,0.236%
3,4,7.917%
3,5,0.230%
3,2,0.343%
0,9,8.089%
3,3,0.266%
6,1,8.042%
2,2,7.756%
1,1,7.970%
7,3,7.970%
7,8,0.186%
8,4,7.553%
8,10,0.184%
2,5,1.470%
9,2,7.591%
0,7,3.702%
2,10,0.257%
2,7,0.183%
6,6,3.687%
4,7,7.583%
2,1,0.219%
0,10,0.727%
5,2,7.485%
4,1,0.181%
9,1,1.087%
4,8,0.181%
4,2,0.288%
1,1,3.312%
4,7,0.215%
7,1,3.580%
8,7,2.856%
0,7,2.202%
4,4,1.063%
8,1,0.213%
0,1,0.247%
7,4,1.061%
9,4,2.471%
3,5,7.276%
8,9,1.050%
4,3,2.720%
8,3,1.754%
7,8,2.879%
3,2,2.700%
4,8,0.170%
8,4,0.238%
6,4,7.321%
2,10,7.220%
5,9,7.085%
5,6,0.235%
7,7,1.412%
7,3,0.168%
3,2,1.676%
7,5,0.167%
3,6,0.167%
1,2,6.890%
3,5,0.199%
4,5,2.649%
8,2,2.873%
6,10,2.112%
2,3,2.690%
8,10,0.295%
0,3,7.110%
9,5,7.077%
2,6,0.586%
7,2,2.439%
9,1,0.714%
2,4,0.194%
3,5,2.903%
9,4,0.644%
9,1,0.224%
4,1,2.564%
2,9,1.622%
2,1,0.159%
9,4,0.951%
4,9,1.296%
9,8,0.630%
7,4,2.865%
3,8,2.514%
5,7,6.474%
7,4,0.157%
2,7,1.560%
1,8,6.480%
4,10,2.495%
9,9,2.186%
6,4,6.342%
4,5,0.154%
8,5,6.375%
0,7,6.344%
3,1,2.481%
0,4,0.153%
3,10,0.153%
2,10,1.863%
8,1,2.129%
3,9,2.212%
8,8,0.179%
3,8,0.268%
2,2,2.696%
3,10,0.648%
5,10,6.489%
7,1,6.461%
8,8,1.635%
3,10,0.873%
1,9,6.812%
3,2,0.404%
9,5,6.259%
6,7,6.286%
4,8,6.216%
0,7,6.061%
5,9,1.147%
0,5,0.143%
4,9,0.201%
0,6,0.143%
9,7,1.137%
1,4,1.422%
1,7,0.142%
1,10,0.844%
6,4,2.248%
0,3,1.964%
6,10,0.140%
2,1,5.688%
2,7,0.139%
7,3,5.652%
8,2,5.638%
8,8,0.137%
8,3,0.136%
0,3,2.753%
0,8,0.217%
3,6,5.679%
4,4,5.575%
5,4,5.575%
3,10,0.540%
3,7,0.135%
3,8,0.135%
3,2,0.134%
9,8,5.557%
7,7,2.670%
7,2,0.133%
7,3,0.133%
1,3,5.469%
1,7,0.133%
6,3,5.456%
2,10,5.395%
6,5,2.074%
8,1,5.294%
0,5,5.277%
8,9,0.129%
6,4,0.771%
4,6,5.252%
5,1,5.252%
3,6,5.220%
9,3,5.215%
9,2,0.127%
6,3,1.519%
7,9,5.172%
3,7,1.008%
6,4,0.504%
3,3,0.126%
6,3,0.226%
1,10,5.222%
8,3,2.557%
8,6,0.125%
8,10,0.125%
5,5,2.618%
2,10,5.118%
2,4,0.124%
2,1,0.982%
2,1,0.123%
1,1,2.519%
0,9,5.220%
4,9,5.058%
1,5,0.728%
4,10,0.218%
9,7,4.967%
2,5,1.923%
2,9,0.120%
7,9,4.960%
3,9,4.926%
0,8,1.913%
6,7,4.915%
1,1,1.666%
7,6,0.713%
7,3,0.119%
8,9,4.860%
5,7,4.859%
3,2,1.414%
5,6,0.706%
5,4,0.118%
7,4,1.404%
6,4,2.329%
8,6,1.861%
6,4,0.116%
3,4,1.623%
3,2,0.116%
4,1,4.726%
4,1,0.115%
7,9,1.837%
9,1,4.708%
5,5,2.296%
2,7,4.709%
4,4,0.708%
2,9,0.114%
0,10,4.692%
6,8,2.072%
0,3,0.114%
0,7,0.114%
9,5,1.158%
1,6,4.670%
2,3,0.680%
5,9,1.380%
7,4,1.604%
6,8,0.902%
6,8,0.113%
0,10,0.900%
6,5,0.112%
4,3,1.574%
0,7,0.112%
0,6,0.112%
4,4,0.670%
